length,starts_with_plus,digit_pattern_1,digit_pattern_2,spam_reports,genuine_reports,total_reports,spam_ratio,risk_level,abuse_detected,disposable_number,is_valid,status
10,0,987,65,0,10,10,0.00,low,No,No,Yes,Genuine
10,0,912,34,1,9,10,0.10,low,No,No,Yes,Genuine
10,0,876,54,2,8,10,0.20,low,No,No,Yes,Genuine
10,0,998,87,2,9,11,0.18,low,No,No,Yes,Genuine
10,1,987,65,1,8,9,0.11,low,No,No,Yes,Genuine
10,0,912,45,3,8,11,0.27,low,No,No,Yes,Genuine
10,0,876,32,3,9,12,0.25,low,No,No,Yes,Genuine
10,1,998,76,2,10,12,0.17,low,No,No,Yes,Genuine
10,0,909,12,4,8,12,0.33,medium,No,No,Yes,Genuine
10,0,808,23,4,7,11,0.36,medium,No,No,Yes,Genuine
10,0,987,65,5,7,12,0.42,medium,No,No,Yes,Suspicious
10,1,912,34,6,7,13,0.46,medium,No,No,Yes,Suspicious
10,0,876,54,7,6,13,0.54,medium,No,No,Yes,Suspicious
10,0,998,87,8,6,14,0.57,medium,No,No,Yes,Suspicious
10,1,909,12,7,5,12,0.58,medium,No,No,Yes,Suspicious
10,0,808,23,9,7,16,0.56,medium,No,No,Yes,Suspicious
10,0,987,45,10,6,16,0.63,medium,No,No,Yes,Suspicious
10,1,912,76,11,5,16,0.69,medium,No,No,Yes,Suspicious
10,0,876,32,12,5,17,0.71,high,No,No,Yes,Spam
10,0,998,65,14,3,17,0.82,high,No,No,Yes,Spam
10,1,909,87,15,2,17,0.88,high,Yes,No,Yes,Spam
10,0,808,54,18,2,20,0.90,high,Yes,No,Yes,Spam
10,0,987,23,20,1,21,0.95,high,Yes,Yes,Yes,Spam
10,1,912,45,22,1,23,0.96,high,Yes,No,Yes,Spam
10,0,876,76,25,2,27,0.93,high,Yes,Yes,Yes,Spam
10,0,998,12,16,1,17,0.94,high,Yes,No,Yes,Spam
10,1,909,34,13,2,15,0.87,high,No,No,Yes,Spam
10,0,808,65,19,3,22,0.86,high,Yes,No,Yes,Spam
10,0,987,87,21,4,25,0.84,high,Yes,No,Yes,Spam
10,1,912,23,17,2,19,0.89,high,Yes,Yes,Yes,Spam
10,0,876,45,4,10,14,0.29,low,No,No,Yes,Genuine
10,1,998,54,3,11,14,0.21,low,No,No,Yes,Genuine
10,0,909,76,6,9,15,0.40,medium,No,No,Yes,Suspicious
10,0,808,32,8,8,16,0.50,medium,No,No,Yes,Suspicious
10,1,987,12,10,9,19,0.53,medium,No,No,Yes,Suspicious
10,0,912,65,11,8,19,0.58,medium,No,No,Yes,Suspicious
10,0,876,87,13,4,17,0.76,high,No,No,Yes,Spam
10,1,998,34,14,2,16,0.88,high,Yes,No,Yes,Spam
10,0,909,45,16,3,19,0.84,high,Yes,Yes,Yes,Spam
10,0,808,76,23,1,24,0.96,high,Yes,Yes,Yes,Spam
